key,latitude,longitude,jun,sep,dez
367,41.8575747,-87.6144682,0,0,0
368,41.8575747,-87.6132619,0,0,0
369,41.858473,-87.6398,6,0,0
370,41.858473,-87.6385937,0,0,0
371,41.858473,-87.6373874,0,0,0
372,41.858473,-87.6361812,0,0,157
373,41.858473,-87.6349749,0,0,43
374,41.858473,-87.6337686,0,0,0
375,41.858473,-87.6325623,0,0,0
376,41.858473,-87.6313561,0,0,0
377,41.858473,-87.6301498,41,0,25
378,41.858473,-87.6289435,0,0,0
379,41.858473,-87.6277372,720,540,360
380,41.858473,-87.6265309,235,4,0
381,41.858473,-87.6253247,198,504,360
382,41.858473,-87.6241184,720,540,360
383,41.858473,-87.6229121,720,540,360
384,41.858473,-87.6217058,720,539,359
385,41.858473,-87.6204996,720,540,360
386,41.858473,-87.6192933,301,145,70
387,41.858473,-87.618087,41,0,102
388,41.858473,-87.6168807,26,0,80
389,41.858473,-87.6156744,3,0,27
390,41.858473,-87.6144682,0,0,0
391,41.858473,-87.6132619,0,0,0
392,41.8593713,-87.6398,720,540,360
393,41.8593713,-87.6385937,32,0,0
394,41.8593713,-87.6373874,35,0,0
395,41.8593713,-87.6361812,720,540,360
396,41.8593713,-87.6349749,720,540,360
397,41.8593713,-87.6337686,0,0,0
398,41.8593713,-87.6325623,720,540,359
399,41.8593713,-87.6313561,0,0,0
400,41.8593713,-87.6301498,234,208,115
401,41.8593713,-87.6289435,720,540,360
402,41.8593713,-87.6277372,312,540,360
403,41.8593713,-87.6265309,143,168,91
404,41.8593713,-87.6253247,29,128,78
405,41.8593713,-87.6241184,624,451,302
406,41.8593713,-87.6229121,248,512,360
407,41.8593713,-87.6217058,237,124,31
408,41.8593713,-87.6204996,720,540,360
409,41.8593713,-87.6192933,188,0,142
410,41.8593713,-87.618087,98,0,0
411,41.8593713,-87.6168807,20,18,177
412,41.8593713,-87.6156744,720,540,360
413,41.8593713,-87.6144682,171,112,88
414,41.8593713,-87.6132619,0,0,0
415,41.8602696,-87.6398,0,0,0
416,41.8602696,-87.6385937,60,0,63
417,41.8602696,-87.6373874,0,0,117
418,41.8602696,-87.6361812,720,540,360
419,41.8602696,-87.6349749,720,540,360
420,41.8602696,-87.6337686,0,0,0
421,41.8602696,-87.6325623,0,0,0
422,41.8602696,-87.6313561,0,0,0
423,41.8602696,-87.6301498,11,0,0
424,41.8602696,-87.6289435,3,0,0
