key,latitude,longitude
579,40.737789,-74.009934
580,40.737051,-74.008256
581,40.784795,-73.948369
582,40.798515,-73.935392
583,40.728225,-73.981239
584,40.806878,-73.951274
585,40.806721,-73.950903
586,40.756863,-73.977087
587,40.711245,-74.005396
588,40.728209,-73.981206
589,40.728239,-73.981271
590,40.840712,-73.935640
591,40.742549,-73.997745
592,40.759766,-73.999830
593,40.770760,-73.980638
594,40.761830,-73.985034
595,40.803893,-73.955766
596,40.744121,-73.973277
597,40.760831,-73.994585
598,40.765174,-73.979250
599,40.742475,-73.999433
600,40.762813,-73.975673
601,40.744871,-73.993515
602,40.709021,-74.002272
603,40.765148,-73.985109
604,40.721404,-73.981962
605,40.707047,-74.017439
606,40.800833,-73.944218
607,40.800747,-73.931930
608,40.795120,-73.941214
609,40.795106,-73.941181
610,40.795095,-73.941153
611,40.795082,-73.941120
612,40.795071,-73.941091
613,40.795057,-73.941062
614,40.795043,-73.941030
615,40.794966,-73.940849
616,40.794955,-73.940817
617,40.794942,-73.940788
618,40.794931,-73.940755
619,40.794917,-73.940727
620,40.766384,-73.991968
621,40.755401,-73.981386
622,40.728724,-73.980437
623,40.706284,-74.017904
624,40.794583,-73.941911
625,40.794569,-73.941879
626,40.794555,-73.941846
627,40.794541,-73.941814
628,40.794528,-73.941781
629,40.794514,-73.941749
630,40.798835,-73.938086
631,40.724957,-74.008504
632,40.736835,-73.980489
633,40.724161,-74.009402
634,40.707641,-74.008155
635,40.815300,-73.947739
636,40.713959,-74.007507
637,40.764560,-73.979867
638,40.708351,-74.014323
639,40.756886,-73.969424
640,40.800402,-73.943716
641,40.792773,-73.939602
642,40.726365,-73.993582
643,40.716336,-74.004477
644,40.810257,-73.951388
645,40.726956,-73.978233
646,40.721345,-73.985837
647,40.799753,-73.946451
648,40.800502,-73.946100
649,40.726987,-73.978306
650,40.719967,-73.988023
651,40.808458,-73.939237
652,40.795922,-73.937352
653,40.747559,-73.982449
654,40.756322,-73.999267
655,40.766839,-73.987163
656,40.757795,-73.991106
657,40.765146,-73.965420
658,40.823600,-73.941630
659,40.714299,-73.993723
660,40.763244,-73.994177
661,40.749009,-73.983831
662,40.723852,-73.976391
663,40.759166,-73.952006
664,40.825546,-73.948374
665,40.728068,-73.980874
666,40.808876,-73.945992
667,40.709139,-74.014020
668,40.802814,-73.936089
669,40.789956,-73.944956
670,40.806561,-73.954421
671,40.798344,-73.938827
672,40.810089,-73.944997
673,40.804104,-73.936799
674,40.721960,-74.008067
675,40.809943,-73.944698
676,40.809256,-73.943026
677,40.810287,-73.945463
678,40.723835,-73.998138
679,40.721811,-73.987467
680,40.810073,-73.944961
681,40.810836,-73.944885
682,40.741964,-73.994572
683,40.810254,-73.945387
684,40.755877,-73.992453
685,40.719036,-73.987038
686,40.807572,-73.950985
687,40.774089,-73.958924
688,40.803308,-73.954820
689,40.765646,-73.964622
690,40.802845,-73.949554
691,40.803501,-73.955268
692,40.716679,-73.990960
693,40.807452,-73.946788
694,40.781290,-73.948036
695,40.748112,-74.005150
696,40.746615,-73.979559
697,40.748301,-73.993987
698,40.728538,-73.981711
699,40.816523,-73.946621
700,40.745719,-74.007135
701,40.796492,-73.934484
702,40.838167,-73.938642
703,40.745620,-74.006900
704,40.795300,-73.950362
705,40.724887,-73.978259
706,40.750796,-73.984275
707,40.764414,-73.957865
708,40.779286,-73.947175
709,40.839749,-73.939816
710,40.804773,-73.941382
711,40.751384,-73.991529
712,40.743803,-73.975640
713,40.724991,-73.979093
714,40.793971,-73.942446
715,40.796902,-73.970135
716,40.809319,-73.937405
717,40.803984,-73.956453
718,40.749482,-73.998354
719,40.836040,-73.938258
720,40.789779,-73.970124
721,40.748400,-74.005836
722,40.829392,-73.943796
723,40.756343,-73.991684
724,40.803983,-73.954354
725,40.756379,-73.991767
726,40.756570,-73.984169
727,40.817360,-73.945934
728,40.801660,-73.950932
729,40.720392,-73.983420
730,40.727610,-73.979355
731,40.746226,-73.990938
732,40.759974,-73.960885
733,40.772462,-73.959044
734,40.733370,-74.010251
735,40.808606,-73.937608
736,40.824667,-73.940595
737,40.810581,-73.953916
738,40.743207,-73.973945
739,40.717924,-74.015411
740,40.802313,-73.945271
741,40.726044,-74.009705
742,40.727667,-73.979337
743,40.721248,-73.979563
744,40.829425,-73.938763
745,40.743951,-73.997384
746,40.745342,-73.990487
747,40.717384,-74.014166
748,40.802270,-73.946199
749,40.721375,-73.991313
750,40.744014,-73.991985
751,40.721393,-73.979953
752,40.755136,-73.992619
753,40.818754,-73.944914
754,40.722048,-73.991840
755,40.824731,-73.941813
756,40.744890,-73.991342
757,40.717162,-74.004679
758,40.812814,-73.949540
759,40.727017,-73.978378
760,40.807225,-73.954048
761,40.797529,-73.966761
762,40.775065,-73.988634
763,40.731029,-74.004272
764,40.744297,-73.999220
765,40.760230,-73.998953
766,40.781370,-73.949181
767,40.794224,-73.939077
768,40.792337,-73.940545
769,40.755827,-73.992380
770,40.722119,-73.996703
771,40.733924,-74.009623
772,40.754895,-73.965425
773,40.809802,-73.942422
774,40.714812,-74.016153
775,40.801742,-73.943556
776,40.739372,-73.984393
777,40.759247,-73.985168
778,40.792180,-73.940173
779,40.751983,-73.967538
780,40.772560,-73.957318
781,40.803279,-73.950544
782,40.803507,-73.951082
783,40.781432,-73.980281
784,40.742218,-73.984872
785,40.716863,-74.012207
786,40.801379,-73.956126
787,40.762621,-73.973128
788,40.740015,-73.974289
789,40.720077,-74.001320
790,40.772545,-73.982176
791,40.721286,-73.979700
792,40.796261,-73.933939
793,40.807602,-73.965044
794,40.782537,-73.950949
795,40.848249,-73.939345
796,40.761650,-73.980684
797,40.721572,-73.980696
798,40.739037,-73.985681
799,40.748821,-73.975714
800,40.772930,-73.989501
801,40.786435,-73.950499
802,40.805894,-73.942656
803,40.838558,-73.936586
804,40.806355,-73.961378
805,40.721434,-73.980797
806,40.806172,-73.965229
807,40.799739,-73.940227
808,40.759561,-73.975729
809,40.761204,-73.961859
810,40.809333,-73.955488
811,40.807159,-73.955255
812,40.714571,-74.007157
813,40.857467,-73.932248
814,40.770228,-73.953749
815,40.756329,-73.986746
816,40.756571,-73.988190
817,40.750494,-73.985473
818,40.865776,-73.929423
819,40.718729,-73.986227
820,40.812494,-73.953243
821,40.766372,-73.969394
822,40.801551,-73.936737
823,40.799015,-73.940470
824,40.836204,-73.938615
825,40.735330,-74.009670
826,40.744714,-73.991494
827,40.720791,-73.996713
828,40.798647,-73.935703
829,40.721494,-73.978279
